Temperature,Humidity,Light,CO2,HumidityRatio,Occupancy
23.18,27.272,426,721.25,0.004792988176505,1
23.15,27.2675,429.5,714,0.004783440949311,1
23.15,27.245,426,713.5,0.004779463524422,1
23.15,27.2,426,708.25,0.004771508826082,1
23.1,27.2,426,704.5,0.004756992933315,1
23.1,27.2,419,701,0.004756992933315,1
23.1,27.2,419,701.666666666667,0.004756992933315,1
23.1,27.2,419,699,0.004756992933315,1
23.1,27.2,419,689.333333333333,0.004756992933315,1
23.075,27.175,419,688,0.004745350719667,1
23.075,27.15,419,690.25,0.004740951896943,1
23.1,27.1,419,691,0.004739370730521,1
23.1,27.1666666666667,419,683.5,0.00475111875561,1
23.05,27.15,419,687.5,0.004733731797083,1
23,27.125,419,686,0.004714942145905,1
23,27.125,418.5,680.5,0.004714942145905,1
23,27.2,0,681.5,0.004728077949669,0
22.945,27.29,0,685,0.004727951371781,0
22.945,27.39,0,685,0.004745408397094,0
22.89,27.39,0,689,0.00472950615591,0
22.89,27.39,0,689.5,0.00472950615591,0
22.89,27.39,0,689,0.00472950615591,0
22.89,27.445,0,691,0.004739075514747,0
22.89,27.5,0,688,0.004748645165811,0
22.89,27.5,0,689.5,0.004748645165811,0
22.79,27.445,0,689,0.004710224046806,0
22.79,27.5,0,685.666666666667,0.00471973499915,0
22.79,27.5,0,687,0.00471973499915,0
22.79,27.5,0,688,0.00471973499915,0
22.745,27.5,0,670,0.004706776158049,0
22.7,27.4633333333333,0,668.666666666667,0.004687543083844,0
22.7,27.5,0,670,0.004693848714108,0
22.7,27.5,0,667,0.004693848714108,0
22.6666666666667,27.4266666666667,0,664.5,0.004671707764618,0
22.7,27.6,0,670,0.004711046532523,0
22.6,27.4266666666667,0,670.333333333333,0.004652699458698,0
22.6,27.39,0,672,0.004646432806535,0
22.6,27.3566666666667,0,658,0.004640735958784,0
22.6,27.445,0,660.5,0.004655832831781,0
22.6,27.4266666666667,0,658,0.004652699458698,0
22.6,27.445,0,655,0.004655832831781,0
22.6,27.445,0,654.25,0.004655832831781,0
22.6,27.39,0,648,0.004646432806535,0
22.5,27.3233333333333,0,648.666666666667,0.004606763202978,0
22.5,27.445,0,646,0.004627429032145,0
22.5,27.5,0,646,0.004636771566698,0
22.5,27.445,0,641.5,0.004627429032145,0
22.39,27.29,0,639,0.004570212087991,0
22.5,27.5,0,640,0.004636771566698,0
22.39,27.34,0,630.5,0.00457864714514,0
22.39,27.3566666666667,0,629.333333333333,0.004581458881325,0
22.39,27.5,0,632,0.004605640854261,0
22.39,27.5,0,636.5,0.004605640854261,0
22.39,27.5,0,627.5,0.004605640854261,0
22.39,27.39,0,626,0.004587082429402,0
22.39,27.5,0,625.5,0.004605640854261,0
22.34,27.39,0,623.5,0.00457305034948,0
22.39,27.4633333333333,0,624.666666666667,0.004599454590494,0
22.39,27.39,0,622,0.004587082429402,0
22.29,27.39,0,621,0.004559056148523,0
22.34,27.39,0,626.5,0.00457305034948,0
22.29,27.39,0,622,0.004559056148523,0
22.39,27.39,0,620,0.004587082429402,0
22.29,27.39,0,621.5,0.004559056148523,0
22.29,27.3566666666667,0,616.333333333333,0.004553467209043,0
22.29,27.34,0,609,0.004550672776693,0
22.29,27.39,0,614,0.004559056148523,0
22.29,27.34,0,613.5,0.004550672776693,0
22.29,27.34,0,611,0.004550672776693,0
22.29,27.39,0,612,0.004559056148523,0
22.29,27.29,0,608,0.004542289629199,0
22.29,27.29,0,605.5,0.004542289629199,0
22.2675,27.315,0,608.5,0.00454021358023,0
22.2,27.29,0,608.5,0.0045172881935,0
22.245,27.29,0,602.5,0.00452977369586,0
22.2,27.29,0,598,0.0045172881935,0
22.2,27.29,0,595,0.0045172881935,0
22.2,27.29,0,591,0.0045172881935,0
22.245,27.245,0,591,0.004522249993647,0
22.2,27.2,0,595,0.004502282742765,0
22.2,27.29,0,594.333333333333,0.0045172881935,0
22.2,27.29,0,593.5,0.0045172881935,0
22.2,27.29,0,592,0.0045172881935,0
22.15,27.245,0,586.5,0.004495971357952,0
22.2,27.2,0,586,0.004502282742765,0
22.15,27.245,0,586,0.004495971357952,0
22.2,27.245,0,584.5,0.004509785378284,0
22.1,27.245,0,584.5,0.004482194676555,0
22.1,27.2,0,585.5,0.004474738269724,0
22.1333333333333,27.2,0,584.666666666667,0.004483903198215,0
22.2,27.2,0,577,0.004502282742765,0
22.1,27.2,0,580,0.004474738269724,0
22.125,27.2,0,582,0.004481610415171,0
22.2,27.2,0,580,0.004502282742765,0
22.1,27.15,0,578,0.004466453581412,0
22.1,27.2,0,576.5,0.004474738269724,0
22.1,27.2,0,580,0.004474738269724,0
22.1,27.2,0,572.5,0.004474738269724,0
22.1,27.2,0,567,0.004474738269724,0
22.1,27.2,0,568,0.004474738269724,0
22.1,27.2,0,574.5,0.004474738269724,0
22.1,27.2,0,564.333333333333,0.004474738269724,0
22.1,27.2,0,563,0.004474738269724,0
22.1,27.15,0,564.5,0.004466453581412,0
22.0666666666667,27.1666666666667,0,566.333333333333,0.00446007809167,0
22.1,27.1,0,562,0.004458169112216,0
22,27.1,0,565.5,0.004430875551249,0
22,27.1,0,570,0.004430875551249,0
22.05,27.15,0,562,0.004452762746362,0
22,27.1,0,560,0.004430875551249,0
22,27.1,0,558,0.004430875551249,0
22,27.1,0,556,0.004430875551249,0
22,27.1,0,557,0.004430875551249,0
21.9175,27.1,0,556.5,0.004408469431627,0
21.945,27.1,0,557.5,0.004415927007615,0
21.9266666666667,27.1,0,555,0.004410954054978,0
21.89,27.1,0,555,0.004401022967086,0
21.89,27.1,0,553,0.004401022967086,0
21.89,27.1,0,549.5,0.004401022967086,0
21.89,27.1,0,548.5,0.004401022967086,0
21.89,27.1,0,551.5,0.004401022967086,0
21.89,27.1,0,548.5,0.004401022967086,0
21.89,27.1,0,548,0.004401022967086,0
21.89,27.1,0,547.5,0.004401022967086,0
21.89,27.1,0,553,0.004401022967086,0
21.84,27.1,0,547.5,0.004387512361334,0
21.8566666666667,27.1,0,548.666666666667,0.004392011825806,0
21.79,27.1,0,540,0.004374038354454,0
21.79,27.1,0,538,0.004374038354454,0
21.79,27.1,0,542,0.004374038354454,0
21.79,27.1,0,542,0.004374038354454,0
21.79,27.1,0,538,0.004374038354454,0
21.79,27.1,0,537.666666666667,0.004374038354454,0
21.79,27.1,0,537.5,0.004374038354454,0
21.79,27.1,0,536,0.004374038354454,0
21.745,27.1,0,534.5,0.004361942969453,0
21.7,27.1,0,532.5,0.004349877097745,0
21.76,27.1,0,530,0.004365971482121,0
21.745,27.05,0,529.5,0.004353838771225,0
21.79,27.05,0,531,0.004365911527171,0
21.73,27,0,533.333333333333,0.004341724610005,0
21.745,27,0,531,0.004345734782707,0
21.745,27,0,529,0.004345734782707,0
21.745,27,0,528.5,0.004345734782707,0
21.7,27,0,525,0.004333714055788,0
21.7,27,0,528.5,0.004333714055788,0
21.7,27,0,530.5,0.004333714055788,0
21.7,26.89,0,528,0.004315935673085,0
21.7,26.89,0,526,0.004315935673085,0
21.7,26.89,0,530,0.004315935673085,0
21.7,26.89,0,533.333333333333,0.004315935673085,0
21.7,26.89,0,529,0.004315935673085,0
21.7,26.89,0,528,0.004315935673085,0
21.7,26.89,0,526,0.004315935673085,0
21.7,26.89,0,526,0.004315935673085,0
21.7,26.79,0,521,0.004299774382784,0
21.7,26.79,0,518,0.004299774382784,0
21.7,26.79,0,515.5,0.004299774382784,0
21.7,26.79,0,520,0.004299774382784,0
21.7,26.7675,0,523.5,0.004296138207407,0
21.7,26.79,0,525.5,0.004299774382784,0
21.7,26.79,0,525.5,0.004299774382784,0
21.7,26.79,0,514,0.004299774382784,0
21.7,26.7,0,518,0.004285229934604,0
21.7,26.7,0,518,0.004285229934604,0
21.7,26.7,0,520,0.004285229934604,0
21.6,26.7,0,521,0.004258921862088,0
21.6,26.6,0,518,0.004242862036853,0
21.6,26.65,0,517,0.004250891846509,0
21.6,26.6,0,511.5,0.004242862036853,0
21.65,26.65,0,514,0.004264003084945,0
21.6,26.55,0,515.5,0.004234832433111,0
